13500, 26.035, 31.364, 13.037, 26.258, 18.348, 21.018, 29.355, 17.499, 21.495, 21.006, 20.973, 26.557, 22.987, 28.949, 24.406, 25.856, 21.439, 18.383, 23.927, 27.827, 19.186, 19.582, 33.031, 25.982, 0.213, -0.367, -0.884, -0.621, -0.18, -0.578, -0.441, -0.636
14000, 23.092, 33.18, 12.008, 24.622, 18.585, 21.266, 29.454, 15.0, 24.599, 19.989, 21.946, 26.795, 21.168, 29.377, 25.436, 26.9, 18.609, 13.596, 22.459, 25.951, 19.451, 19.876, 32.334, 24.098, 0.697, -0.912, -0.033, -0.381, -1.221, -0.739, -0.356, 0.341
14500, 27.15, 31.767, 12.728, 25.959, 18.555, 21.553, 29.621, 15.634, 23.611, 20.846, 23.309, 27.594, 21.145, 30.34, 27.989, 26.132, 21.518, 18.999, 24.637, 26.684, 17.134, 20.793, 29.981, 24.449, 0.573, -0.877, -0.091, -0.243, -0.223, -0.547, -0.507, -0.051
15000, 25.34, 28.145, 11.702, 23.82, 17.247, 23.626, 31.124, 14.123, 21.563, 19.165, 22.134, 26.482, 23.198, 33.41, 24.253, 23.322, 22.225, 17.107, 20.536, 27.539, 22.639, 19.505, 27.253, 25.712, 0.805, -0.271, -0.075, 0.384, -0.005, -0.519, 0.627, 0.758
15500, 20.101, 19.969, 9.147, 23.02, 16.604, 22.539, 28.886, 7.738, 16.609, 15.763, 19.024, 23.565, 23.0, 31.998, 18.761, 20.104, 14.821, 12.272, 18.827, 29.674, 24.672, 16.118, 22.361, 19.964, 0.132, -1.5, -0.003, -0.575, -0.884, -0.236, -0.998, 0.846
16000, 13.019, 15.989, 8.816, 22.435, 18.312, 25.116, 31.117, 3.469, 13.472, 16.504, 18.812, 21.72, 25.118, 31.506, 11.108, 17.07, 14.679, 13.376, 19.418, 26.044, 23.275, 11.056, 18.791, 17.502, 0.704, -1.01, -0.632, 0.023, -1.02, -1.406, -0.007, 0.533
16500, 10.812, 12.37, 9.788, 23.97, 20.694, 24.029, 28.82, 1.437, 12.142, 17.732, 20.177, 26.613, 26.223, 34.055, 8.831, 17.296, 15.37, 12.634, 19.997, 31.296, 26.134, 9.819, 17.659, 17.083, 0.791, -0.375, 0.071, 0.058, -0.337, -0.844, 0.281, 0.157
17000, 10.785, 16.901, 10.488, 24.613, 19.273, 23.455, 27.127, 1.329, 12.039, 17.788, 20.606, 27.649, 26.891, 33.393, 4.554, 15.489, 15.907, 12.008, 20.241, 30.65, 25.417, 7.316, 14.937, 16.284, 0.47, -1.233, -0.196, -0.524, 0.412, -0.931, -0.194, 0.498
17500, 9.494, 16.265, 10.65, 25.374, 20.063, 25.475, 25.628, 0.228, 11.344, 15.682, 20.785, 27.204, 26.722, 32.314, 6.165, 16.838, 16.501, 15.946, 19.384, 33.064, 27.49, 6.667, 15.718, 15.517, 0.509, -0.53, -0.008, -0.193, 0.071, -0.689, 0.77, -0.167
18000, 10.75, 16.555, 11.866, 25.799, 19.404, 24.522, 25.595, 0.426, 12.979, 15.734, 20.564, 26.535, 28.528, 33.569, 7.831, 17.528, 15.881, 9.889, 19.83, 29.008, 27.904, 8.493, 16.405, 17.402, 0.021, -0.26, -0.288, -0.494, -0.491, -0.103, -0.606, -0.877
18500, 7.399, 15.426, 9.902, 25.901, 20.524, 25.344, 26.628, 0.241, 12.292, 16.153, 19.123, 24.421, 26.773, 33.508, 8.582, 16.077, 16.219, 14.795, 19.417, 29.575, 25.313, 6.882, 16.812, 17.045, 0.669, -0.839, -1.361, -0.661, -0.481, -1.713, -0.403, -0.588
19000, 14.63, 9.201, 12.609, 20.732, 19.46, 18.263, 24.486, -0.744, 16.695, 11.416, 20.594, 16.546, 24.482, 23.116, 15.117, 12.191, 20.014, 0.772, 17.692, 22.101, 23.986, 4.935, 23.013, 11.999, -0.667, -0.898, -0.66, -0.309, -0.187, -0.365, -0.812, -0.884
19500, 20.448, 10.427, 11.273, 14.017, 18.763, 11.843, 19.701, -0.945, 19.174, 9.373, 19.166, 12.218, 21.652, 14.301, 16.67, 9.923, 21.485, -3.803, 17.641, 13.498, 19.452, 2.944, 26.362, 8.585, 0.884, -1.71, -0.73, -1.163, -0.408, -0.636, -0.35, -0.334
20000, 22.241, 6.713, 9.356, 10.24, 19.331, 8.736, 17.825, -1.46, 20.171, 6.303, 19.048, 7.274, 20.218, 9.555, 19.481, 6.065, 20.564, -4.322, 18.319, 8.432, 18.896, 3.087, 24.634, 3.864, 0.29, -0.987, -0.755, -1.139, -1.649, -0.18, -0.012, -0.213
20500, 23.094, 3.96, 12.282, 4.966, 20.993, 6.137, 14.897, -1.267, 20.19, 4.971, 20.03, 6.844, 20.045, 5.749, 19.549, 3.963, 20.717, -4.495, 18.148, 6.102, 19.143, 2.417, 23.575, 3.76, 0.079, -0.061, -0.205, -0.218, 0.385, 0.393, -0.633, -0.058
21000, 23.782, 0.926, 12.357, 3.901, 22.019, 3.017, 13.978, -0.465, 22.042, 3.567, 19.037, 3.735, 20.868, 5.34, 21.82, 1.291, 23.705, -3.67, 19.03, 4.451, 18.508, -0.196, 26.54, 0.43, -0.594, -1.043, -0.781, -0.877, -0.613, -0.351, -0.706, 0.601
21500, 24.155, 0.279, 13.784, 2.453, 22.524, 1.883, 15.685, -1.325, 20.963, 2.681, 19.394, 2.977, 19.772, 4.264, 20.448, 0.862, 22.577, -3.117, 20.55, 1.591, 19.359, 1.267, 24.305, -0.068, 0.492, -0.981, -0.226, -0.575, -0.314, -0.099, 0.137, 0.646
22000, 23.083, -0.393, 14.778, 1.509, 22.615, 1.13, 15.542, -0.274, 19.568, 2.87, 20.106, 2.458, 20.676, 3.726, 24.094, 0.938, 23.49, -2.849, 19.57, 1.541, 19.308, -0.108, 25.279, 0.073, 0.657, -0.646, 0.229, 0.737, -0.62, -0.971, 0.323, 0.306
22500, 20.382, -2.121, 15.492, -0.844, 24.756, -1.817, 13.86, -1.252, 18.282, -0.312, 18.763, 1.247, 22.503, 0.791, 21.677, -1.873, 22.116, -4.186, 19.328, 0.393, 18.165, -2.131, 22.404, -1.956, -0.849, -1.693, -0.91, -0.327, -0.922, -1.378, -1.275, -1.014
